科目名,年度,クォーター,時間割コード,テーマ
数学科教育論Ａ１,2018,第1クォーター,1H231,学習した内容を生活や学習で活用するための思考力・表現力を育成できる教員の養成をめざし、数学教育の今日的課題、中学校及び高等学校の数学科の目標について学ぶとともに、既習事項の活用及び生徒のつまずきという観点から、数学科の指導内容及び数学的活動を通した指導方法について学ぶ。
健康運動科学１,2018,第1クォーター,1H543,本講義では、運動処方の基礎的概念から健康増進や生活習慣病の予防・改善における身体活動・運動の重要性、運動処方の進め方、維持管理法について解説する。実際の運動指導現場における実践報告や国内外の運動処方分野における最新の研究などを交えて、科学的で信頼性のある運動処方理論についてわかりやすく解説する。
公害・環境史,2018,第1クォーター,1H627,我が国における公害・環境をめぐる現代史を講義する。第二次大戦後の日本社会において、経済の発展に規定されつつ公害・環境問題が拡がり、それが認知・克服されていく歴史的諸過程につき、各種資料をもとに考察する。
環境インフォマティクス,2018,第1クォーター,1H636,人間を取り巻く様々な自然環境に関わる問題を情報科学・物理化学の観点から理解するための基礎を講義する。実験・観測やフィールドワーク等から得られたデータを、物理学・化学の基本原理に照らして、数学的にいかに処理し、定量的に正しい解釈を得るか、その基盤技術を学ぶ。古典的な統計解析や従来の数理的シミュレーション技術だけでなく、いわゆるビッグデータの時代に対処するための考え方や方法論についても述べる。地球環境や医療等の問題を具体例にとって、できるだけ実践的に役立つ知識が身に付くよう留意する。
初等算数科教育論１,2018,第1クォーター,1H713,本講義では、授業構想力・実践力等の基盤となる算数観、算数授業観を養うため、算数教育の目標と歴史、算数的活動、数学的な考え方、現行の学習指導要領について理解し、実際に授業を行うための基礎となる知識や考え方等を身に付けることを目的とする。
ＴＯＥＩＣ演習Ｂ,2018,第2クォーター,2H090,"Language is part of culture, and it consists of much more than putting words into sentences.  Culture determines habits of mind, how people interact with each other, what kinds of things they talk about or don’t talk about, and how they talk about them.  This is true of the workplace and in business relations as well as in the general culture.  Implicit in the TOEIC test is a cultural bias. The people who write the tests and determine how you should be graded have minds trained by Western culture.  This means that, whether they are thinking about it or not, they are looing for answers that conform to a kind of Aristotelian logic that in its simpler modern form is known as critical thinking.  This course will provide strategies for analyzing lectures and texts and for understanding speakers’ intentions in conversation."
数学科教育論Ａ２,2018,第2クォーター,2H232,実践的な指導力を有した数学科を担当する教員の養成をめざし、数学科における評価方法について学ぶとともに、数学科の目標・指導内容・指導方法・評価方法に関する基礎的・基本的な知識を活用して数学科学習指導案の作成と模擬授業を行い、指導と評価の一体化について学ぶ。
健康運動科学２,2018,第2クォーター,2H543,本講義では、運動処方の基礎的概念から健康増進や生活習慣病の予防・改善における身体活動・運動の重要性、運動処方の進め方、維持管理法について解説する。実際の運動指導現場における実践報告や国内外の運動処方分野における最新の研究などを交えて、科学的で信頼性のある運動処方理論についてわかりやすく解説する。
環境社会学,2018,第2クォーター,2H625,自然と人間の本質的な関係に焦点を当て、今日のエコロジー的危機を克服する人間のあり方を根底的に解明する。特に自然と社会、個人と社会、時間と空間、主観と客観、そして内なる環境としてのゲノムとその人為的操作等を素材として現代社会に生きる人間と自然の共生の可能性を考察する。
初等算数科教育論２,2018,第2クォーター,2H713,授業づくりの理論と実践についてその基本を学び、学んだことをもとに教材研究・指導案作成を行うことを通して、実践的な力をつけることを目的とする。
越境社会学Ａ,2018,第3クォーター,3H374,占領期日本周辺の移動とその管理の社会学
深層心理学１,2018,第3クォーター,3H536,フロイトと並び立つ「無意識」の発見者・ユングの心理学について学ぶ。ユングの基本的な思想を解説し、ユングの心理学を通じて、どのように人の心の奥にあるものを理解するかを学ぶ。
セーフティプロモーション論,2018,第3クォーター,3H546,人々が安全な生活環境を持続し発展させていく基盤となる「セーフティプロモーション」の考え方を理解するとともに、安全推進活動における「協働」の重要性を認識する。
環境資源植物科学,2018,第3クォーター,3H634,人は植物資源を積極的に利用することで、農業、医療、環境保全に大きく貢献している。人間生活の中でバイオテクノロジーの利用に関連する事項を取り上げ、それらの現状を分析し、理解する。また、将来的にどのような発展が人や環境にとって望ましい姿なのかを考え議論する。講義で取り上げるテーマ：植物ゲノム、染色体、遺伝子の研究、植物の環境に対するストレス応答、植物バイオテクノロジー技術の進展、遺伝子組換え植物の功罪
保健体育科教育論Ｂ２,2018,第4クォーター,4H220,保健分野で扱われる個人生活における健康・安全に関する理解を通して、生徒が、生涯を通じて自らの健康を適切に管理し改善していく態度の育成を支援するために必要な知識や技能を修得する。
越境社会学Ｂ,2018,第4クォーター,4H374,占領期日本周辺の移動とその管理の社会学
深層心理学２,2018,第4クォーター,4H536,2に引き続いて、フロイトと並び立つ「無意識」の発見者・ユングの心理学について学ぶ。ユングの基本的な思想を解説し、ユングの心理学を通じて、どのように人の心の奥にあるものを理解するかを学ぶ。
環境物理学Ｂ,2018,第4クォーター,4H603,物質のふるまいを理解するためには、そのしくみや性質を理解しなければならない。 あらゆる物質に共通していることは、それらが原子の化学的な結合による集合体であることである。 本講義は、その原子の振る舞いを理解する上で不可欠な量子力学への入門編となっている。
ＴＯＥＩＣ演習Ａ,2018,第1クォーター,1H091,"Language is part of culture, and it consists of much more than putting words into sentences.  Culture determines habits of mind, how people interact with each other, what kinds of things they talk about or don’t talk about, and how they talk about them.  This is true of the workplace and in business relations as well as in the general culture.  Implicit in the TOEIC test is a cultural bias. The people who write the tests and determine how you should be graded have minds trained by Western culture.  This means that, whether they are thinking about it or not, they are looing for answers that conform to a kind of Aristotelian logic that in its simpler modern form is known as critical thinking.  This course will provide strategies for analyzing lectures and texts and for understanding speakers’ intentions in conversation."
博物館概論１,2018,第1クォーター,1H246,学芸員とは、長年にわたり守り伝えられてきた資料（＝モノ）と市民をつなぐ専門職である。博物館概論では博物館学、博物館学芸員養成課程への導入として、博物館の使命や機能、学芸員の仕事などについて学ぶ。また、神戸市及び近隣にある博物館の歴史と特色を学ぶことで、地域の博物館への理解を深めるとともに、その役割と意義について考える。
グローバル文化形成基礎演習Ｃ,2018,第1クォーター,1H392,この演習では、国際的に批判されがちな日本における鯨食と捕鯨問題について、異なる立場で作成されたドキュメンタリー映画および文献を参照し、それらを比較検討しながら、報告・討論を行う。
グローバル文化形成基礎演習Ｃ,2018,第1クォーター,1H394,テーマ：「四季の文化」を問いなおす。
声の表現１,2018,第1クォーター,1H556,音読、朗読の基本を理論だけではなく体を通して学び、声を使った豊かな表現が出来ることを目的とする
数理科学基礎,2018,第1クォーター,1H607,環境に関する多岐にわたる問題を数理科学的に分析し課題解決に向かうためには、数学的な構造を理解するための知識が必要であり、個々の数学的理論の固有の内容とは関係なくどの理論にも共通する概念を学ぶ必要がある。環境数理科学基礎では数学的理論を学習する際に基礎となる集合と写像について主として座学により学ぶ。
教育行政学（幼・小）１,2018,第1クォーター,1H709,日本の教育行政を全体的に理解した上で，「教育改革」というテーマにおいてどのような社会的・制度的・経営的事項が生じ，また営まれているのかを知る。
ＴＯＥＩＣ演習Ｂ,2018,第2クォーター,2H091,"Language is part of culture, and it consists of much more than putting words into sentences.  Culture determines habits of mind, how people interact with each other, what kinds of things they talk about or don’t talk about, and how they talk about them.  This is true of the workplace and in business relations as well as in the general culture.  Implicit in the TOEIC test is a cultural bias. The people who write the tests and determine how you should be graded have minds trained by Western culture.  This means that, whether they are thinking about it or not, they are looing for answers that conform to a kind of Aristotelian logic that in its simpler modern form is known as critical thinking.  This course will provide strategies for analyzing lectures and texts and for understanding speakers’ intentions in conversation."
博物館概論２,2018,第2クォーター,2H247,学芸員とは、長年にわたり守り伝えられてきた資料（＝モノ）と市民をつなぐ専門職である。博物館概論では博物館学、博物館学芸員養成課程への導入として、博物館の使命や機能、学芸員の仕事などについて学ぶ。また、神戸市及び近隣にある博物館の歴史と特色を学ぶことで、地域の博物館への理解を深めるとともに、その役割と意義について考える。
グローバル文化形成基礎演習Ｄ,2018,第2クォーター,2H392,この演習では、国際的に批判されがちな日本における鯨食と捕鯨問題について、ドキュメンタリー映画、鯨にかかわる人々を描いた文献を参照しながら、「日本の伝統的食文化」とされる鯨食について、身近な人々の経験について聞き取り調査を行い、報告・討論を行う。
グローバル文化形成基礎演習Ｄ,2018,第2クォーター,2H394,テーマ：「四季の文化」を問いなおす。
声の表現２,2018,第2クォーター,2H556,声の表現１で身に付けたものを基礎に、簡単な音楽劇を使い、他者とのやり取りの中で声の表現の幅をより豊かに広げていく
環境物理学Ａ,2018,第2クォーター,2H603,環境の諸現象の理解や、環境に関わる課題解決のための基礎となる幅広い物理学諸領域の概念、手法などを学ぶ。
教育行政学（幼・小）２,2018,第2クォーター,2H709,日本の教育行政を全体的に理解した上で，「教育改革」というテーマにおいてどのような社会的・制度的・経営的事項が生じ，また営まれているのかを知る。
現代ＩＴ入門Ａ,2018,第3クォーター,3H316,"情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。マルチメディアの構造や取り扱い方を学び、それらが我々の生活にどのような影響を与えるかを議論する。　ここでは、①我々が日常的に接しているデジタル情報の基本的な構造の理解と②最新のITのトピックについての理解の２つを目標としている。最新トピックは、VRやIoTなどを予定している。　(A)では、テキスト、画像のデジタルデータの実際を紹介し、VRなどの映像系の最新技術に触れる。　{(B)では、音声の世界に触れて、ビデオの世界やIoTにまつわる現状を紹介する。}"
英米テクスト文化論Ａ,2018,第3クォーター,3H349,英米の文化は、英語世界の拡大とともに世界に広く浸透しグローバルなものとなっている一方で、容易には理解しがたい異文化としての側面も持っている。この授業では、英米文化の「粋」ともいうべき文学作品について、16世紀から「ロマンティシズム」の時代までを概観する。
比較政策論Ａ,2018,第3クォーター,3H369,従来、政策は国民国家単位で検討され、立案されるのが一般的だったが、グローバル化の進展による越境的な課題の急増は一国単位での政策実施の有効性を著しく低下させた。世界各国は政策実践を相互に参照し、協調しながら、自国の歴史的・制度的背景に適合する政策を選択することを求められている。本科目では、先進諸国が共通して直面している政策課題とそれに対する各国の対応について、Ｇ８諸国の政策実践を比較しながら検討する。具体的には財政再建、通商政策、産業政策、地球温暖化対策、地方分権、移民・外国人に対する対応、少子・高齢化、格差是正、犯罪・テロ対策、教育改革、都市再生、雇用政策、農業・食糧政策、エネルギー政策、男女共同参画などの分野を取り上げます。
コミュニケーション表現論１,2018,第3クォーター,3H380,言葉による様々な表現技法（レトリック）の形式上の特徴、用法、表現効果を、英語と日本語の具体的な例の分析を通して考察することによって、修辞学の基本的な概念を学び、より豊かな言語表現の可能性を探究する。
グローバル文化形成発展演習Ａ,2018,第3クォーター,3H410,古代ローマ人の余暇について考える。
音楽文化史１,2018,第3クォーター,3H518,エポックメーキングと評されてきた音楽作品、作曲家などを踏まえつつ、音楽芸術の表現様式の変遷とその社会的、文化史的な意味を様々なトピックをもとに考察する。
発達心理学（中・高）１,2018,第3クォーター,3H529,本授業は、人間の心の働きの発達をさまざまな観点から学習するものである。発達の各時期の発達課題等を理解し、青年期を含む生涯発達の様相と支援についての理解を深めるものである。
グラフィックサイエンス１,2018,第3クォーター,3H568,この授業のテーマは、３次元立体をいかに２次元である平面上に表現するかということである。授業では、平行投影のうち主にオーソグラフィクス（正投影図）による立体の表現方法と、立体相互の諸関係をオーソグラフィクスによって論理的に分析する方法の原理と応用について学ぶ。
初等国語科教育論１,2018,第3クォーター,3H712,この授業では、小学校国語科において、言語活動の充実を通して、言語力を育成する指導法について講義する。
乳児心理学演習,2018,第3クォーター,3H761,乳児期の発達に関する研究知見を理解して，興味深い乳児の世界を想像するとともに，人間の心の成り立ちについて学ぶ。
現代ＩＴ入門Ｂ,2018,第4クォーター,4H316,"情報技術(Information Technology,IT)は我々の身の回り、産業、社会など様々な分野に急速に浸透してきている。急速に発達する技術が我々の生活にも大きな変革を及ぼそうとしているのである。　ここでは、①我々が日常的に接しているデジタル情報の基本的な構造の理解と②最新のITのトピックについての理解の２つを目標としている。最新トピックは、VRやIoTなどを予定している。　(B)では、音声の世界に触れて、ビデオの世界やIoTにまつわる現状を紹介する。　{(A)では、テキスト、画像のデジタルデータの実際を紹介し、VRなどの映像系の最新技術に触れる。}"
英米テクスト文化論Ｂ,2018,第4クォーター,4H349,英米の文化は、英語世界の拡大とともに世界に広く浸透しグローバルなものとなっている一方で、容易には理解しがたい異文化としての側面も持っている。この授業では、英米文化の「粋」ともいうべき文学作品について、「リアリズム」「モダニズム」「ポストモダニズム」の時代を概観する。
比較政策論Ｂ,2018,第4クォーター,4H369,従来、政策は国民国家単位で検討され、立案されるのが一般的だったが、グローバル化の進展による越境的な課題の急増は一国単位での政策実施の有効性を著しく低下させた。世界各国は政策実践を相互に参照し、協調しながら、自国の歴史的・制度的背景に適合する政策を選択することを求められている。本科目では、先進諸国が共通して直面している政策課題とそれに対する各国の対応について、Ｇ８諸国の政策実践を比較しながら検討する。具体的には財政再建、通商政策、産業政策、地球温暖化対策、地方分権、移民・外国人に対する対応、少子・高齢化、格差是正、犯罪・テロ対策、教育改革、都市再生、雇用政策、農業・食糧政策、エネルギー政策、男女共同参画などの分野を取り上げます。
コミュニケーション表現論２,2018,第4クォーター,4H380,英語と日本語で使われる様々な表現の具体的な例を分析しながら、英語と日本語の発想法や論理の違いについて比較検討する。特に、英語の文章を理解したり日本語に翻訳したりする際に生じる問題点について考察する。
グローバル文化形成発展演習Ｂ,2018,第4クォーター,4H409,古代ローマ人の生活におけるギャンブルの意味を考える。
音楽文化史２,2018,第4クォーター,4H518,エポックメーキングな個々の音楽作品を踏まえつつ、音楽芸術の表現様式の変遷とその社会的、文化史的な意味を考察する。第4Qでは、期末の発表にラジオ番組の体裁を取る。
発達心理学（中・高）２,2018,第4クォーター,4H529,本授業は、人間の心の働きの発達をさまざまな観点から学習するものである。発達の各時期の発達課題等を理解し、青年期を含む生涯発達の様相と支援についての理解を深めるものである。
グラフィックサイエンス２,2018,第4クォーター,4H568,この授業のテーマは、３次元立体をいかに２次元である平面上に表現するかということである。授業では、平行投影のうち主にアキソノメトリー（軸測投影図）による立体の表現方法と、立体相互の諸関係をアキソノメトリーによって論理的に分析する方法の原理と応用について学ぶ。
初等国語科教育論２,2018,第4クォーター,4H712,この授業では、小学校国語科において、言語活動の充実を通して、言語力を育成する指導法について講義する。
国際コミュニケーション演習Ａ,2018,第1クォーター,1H033,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ａ,2018,第1クォーター,1H036,"The aim of this seminar is to let students acquire the basic tools for enhancing their intercultural communication skills, in order to sustain their interest in experiencing an international environment. Theoretical as well as practical issues related to verbal and nonverbal communication in cross-cultural interactions will be addressed. Particular attention will be given to students’ real experience, knowledge or aspirations about living in a foreign country and communicating with local people. Students will share with the class experiences related to misunderstanding, discovery, stereotypes, unsaid expressions and metaphors, and will compare their mutual imaginaries about the countries of origin and destination."
Cultures and Societies in JAPAN A,2018,第1クォーター,1H109,An Examination of Japanese Cultural traditions from the perspective of Japanese music history
グローバル・ヒストリーＡ,2018,第1クォーター,1H302,今年度のグローバル・ヒストリーＡは、世界と日本の観光（ツーリズム）の歴史を学びつつ、近年の観光をめぐる現状と課題について考えます。今日の日本では、海外からの訪日観光客が2016年に2000万人を突破して活況を呈しています。その一方で、観光客の増加による新しい課題や対応すべき問題をさまざまに生じるようになっています。この講義では、マスツーリズムと呼ばれるかつての観光のスタイルを歴史的に再検討したうえで、社会やテクノロジーの変化によって観光の形態やニーズはどのように変化してきたのか、あるいはまた、観光という行動様式が文化や社会に与える影響について考察します。
グローバル文化形成基礎演習Ｃ,2018,第1クォーター,1H393,アメリカ合衆国の【社会】について総合的に考えます。受講生は概要に示されたテーマに添って、議論が盛り上がるような論点を設定し、調査にもとづいて発表して下さい。それを受けて、クラス全体で議論する形で授業を進めていきます。グループによる発表、ディスカッションに積極的に参加してほしいと思っています。授業を通して、アメリカの特質を探ることはもちろんですが、インターネットや文献資料を使った調査方法、歴史研究、宗教・思想研究、文学、映画等の作品研究、効果的なプレゼンテーションの方法などについても学びます。扱うテーマや材料はある程度提示しますが、みずから積極的に素材を見つけだし、感覚と科学的手法の両方をフルに使って、現代アメリカの姿を解明して下さい。
グローバルコミュニケーション基礎演習Ｃ,2018,第1クォーター,1H403,「音」を科学する
心理グローバルリサーチ１,2018,第1クォーター,1H509,心理学の基礎的内容を英語文献で講読する。
環境保健学１,2018,第1クォーター,1H515,人とその生活や産業活動、人をとりまく自然環境・生活環境との基本的な関係性を学ぶとともに、人の活動による様々な環境への影響とそこから生じる健康リスクに関る問題について具体的に学ぶ。
環境地球科学Ａ,2018,第1クォーター,1H606,地球の自然環境と人間生活のかかわりについて理解を深めるための基礎となる地球環境の諸要素を学習する。
生活空間計画論,2018,第1クォーター,1H620,都市空間の計画を中心とした生活空間計画について、その思想・理論・方法を考える。
倫理学,2018,第1クォーター,1H664,この授業では倫理学の体系的知識を提供する。具体的には(1)古代ギリシャ以来の倫理学を系統的に説明し、(2)東洋思想はじめ西洋以外の諸思想を概説し、(3)環境倫理はじめ現代倫理学の諸領域について説明する。
発達障害心理学１,2018,第1クォーター,1H738,心理学的な視点からみた知的障害の理解
乳幼児心理学１,2018,第1クォーター,1H751,教師が幼児の指導を行う上で、幼児の発達プロセスや学びのありようを理解することは重要である。本講義では、幼児の発達に関する基礎的な知識を学び、子どもを発達的に理解するための実践的力量を養成する。
国際コミュニケーション演習Ｂ,2018,第2クォーター,2H033,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ｂ,2018,第2クォーター,2H036,"The aim of this seminar is to let students acquire the basic tools for enhancing their intercultural communication skills, in order to sustain their interest in experiencing an international environment. Theoretical as well as practical issues related to verbal and nonverbal communication in cross-cultural interactions will be addressed. Particular attention will be given to students’ real experience, knowledge or aspirations about living in a foreign country and communicating with local people. Students will share with the class experiences related to misunderstanding, discovery, stereotypes, unsaid expressions and metaphors, and will compare their mutual imaginaries about the countries of origin and destination."
Cultures and Societies in JAPAN B,2018,第2クォーター,2H109,An Examination of Japanese Cultural traditions from the perspective of Japanese musical history
グローバル・ヒストリーＢ,2018,第2クォーター,2H302,この授業では、グローバル化をめぐる諸問題を長期の歴史的視座から考える。広義の「近代」の成立・変容を世界史的観点からとらえる見方が必要であるが、そこでの「世界史」とはどこを指すのか？にも注意を向けてもらいたい。この授業で扱う地域や個々の事例の多くは高校の歴史教育の場で体系的には学ぶ機会のなかった東南アジアや東北アジア地域を含む。日本の状況もこれらの地域やアメリカ・ヨーロッパ等との関係性のなかでとらえ直してゆく。
グローバル文化形成基礎演習Ｄ,2018,第2クォーター,2H393,アメリカ合衆国の【文化】について総合的に考えます。受講生は概要に示されたテーマに添って、議論が盛り上がるような論点を設定し、調査にもとづいて発表して下さい。それを受けて、クラス全体で議論する形で授業を進めていきます。グループによる発表、ディスカッションに積極的に参加してほしいと思っています。授業を通して、アメリカの特質を探ることはもちろんですが、インターネットや文献資料を使った調査方法、歴史研究、宗教・思想研究、文学、映画等の作品研究、効果的なプレゼンテーションの方法などについても学びます。扱うテーマや材料はある程度提示しますが、みずから積極的に素材を見つけだし、感覚と科学的手法の両方をフルに使って、現代アメリカの姿を解明して下さい。
グローバルコミュニケーション基礎演習Ｄ,2018,第2クォーター,2H403,「音表象」を科学する（続き）
心理グローバルリサーチ２,2018,第2クォーター,2H509,心理学の基礎的内容を英語文献で講読する。
環境保健学２,2018,第2クォーター,2H515,自然環境・生活環境からもたらされる健康リスクに関わる現在の法律や規制基準の基本的な考え方について学び、実生活上の環境・健康リスクへの社会的な対応を理解する。
外国史,2018,第2クォーター,2H661,古代から現代までの西洋史・東洋史を、主に市場経済と国家との連関に着目しながら、概説する。
発達障害心理学２,2018,第2クォーター,2H738,生涯発達の視点から知的障害を理解する
乳幼児心理学２,2018,第2クォーター,2H751,教師が幼児の指導を行う上で、幼児の発達プロセスや学びのありようを理解することは重要である。本講義では、従来の発達理論や最新の発達研究の知見も取り入れながら、幼児のさまざまな活動や領域の発達について学び、発達をふまえた保育を考える基礎的・実践的力量を養成する。
日本歴史文化論Ａ,2018,第3クォーター,3H340,日本近代における「戦争」と文化をめぐる諸問題/「戦争」と文化をめぐる諸問題についての歴史分析的考察
現代民族誌学１,2018,第3クォーター,3H365,民族誌(ethnography)と、その作成の根拠となっているフィールドワークについて、多種多様な個別具体的事例の内容をふまえて理解を深め、それらに付随する諸問題について検討する。
コミュニケーション構造論１,2018,第3クォーター,3H383,言語学の基本的な概念や問題について知識を増やし、考える授業です。様々な言語の例を見て考えたり、自ら言語の分析をしながら、言語を探ります。３Qでは、特に言語学における既存の枠組みを疑い、柔軟に考えることを目指します。
グローバル社会動態発展演習Ａ,2018,第3クォーター,3H427,主に２回生を対象とした、この演習では、世界と日本が直面している様々な政治・経済・社会問題について多面的に議論することを目標とします。社会問題を考える際にも突き詰めると「いいか悪いか」「好きか嫌いか」で論じがちな人が多いですが、この演習ではそうした単純な二元論に陥ることなく、むしろ「どうなっているのか？」、「どうしたらいいのか」という視点から実践的で政策志向型思考のトレーニングを積んでいきたいと思います。講座や思想を問わず、様々な意見を持った皆さんが集まって、議論を交わすゼミにしたいと思います。
グローバルコミュニケーション発展演習Ａ,2018,第3クォーター,3H436,『シンデレラ』や『白雪姫』のような民間伝承の物語について、その形式や構造、主題や文体などを論じたテキスト（英文）を読む。
臨床心理学１,2018,第3クォーター,3H534,臨床心理学とは何かについて学ぶ。臨床心理学の歴史を知り、心理臨床の基礎となる理論に触れ、人々が体験するさまざまな困難に心理的援助として貢献しようとする活動の内容を学ぶ。
声楽表現演習１,2018,第3クォーター,3H562,日本歌曲を題材に、詩と音楽がどのように関わりながら楽曲が構成されているのかを分析しながら演奏に結びつけていく
数理科学入門（幾何系）,2018,第3クォーター,3H611,環境に関わる多岐にわたる課題を論理的かつ緻密に分析するためには、現象や問題を可視化して数理モデルを構成するため、幾何系の基礎知識が必要となる。本授業では、ユークリッド空間及び距離空間の位相構造に関する入門的事項について学ぶ。
環境基礎科学実験Ｃ１（主に化学）,2018,第3クォーター,3H617,実験を通して化学変化を実感すること，化学実験の基礎的技術を習得することを目的とする。
住環境論,2018,第3クォーター,3H644,住居の設計・デザイン、住宅市場と住宅政策、住空間の再生について講述し、住居を中心とする生活空間計画のあり方を考える。
発達障害と共生社会１,2018,第3クォーター,3H739,共生社会の実現に向けた障害理解を探求する
グローバル共生社会論,2018,第4クォーター,4H029,本講義では、21世紀社会における「グローバルイシュー」解決への視座を養うために、地球規模（グローバル）の人類の営みについて、空間的広がりだけでなく歴史・時間軸という視座も取り入れながら考察する。人類の営みは歴史的に、生産力や科学技術の発展が起こると、それに呼応する形で社会制度や人間のあり方の変化が生じ、そうして変革された社会制度や人間が、さらに生産力や科学技術の高度化を進める・・・という科学技術（自然科学や工学などの学問対象）と社会制度・人間のあり方（社会科学や人文科学の学問対象）の相互作用の営みを普遍的に繰り返しながら今日まで発展してきた。本講義は、そのような人類史の中で、私たちの生きる今日の時代がどのような位置にあるのかを多様な学問分野から考察し、私たちが地球人類として今後どのような方向性で社会の開発や発展を模索すればよいのかを考えてみたい。
日本歴史文化論Ｂ,2018,第4クォーター,4H340,日本近代における「戦争」と文化をめぐる諸問題/「戦争」と文化をめぐる諸問題についての歴史分析的考察
現代民族誌学２,2018,第4クォーター,4H365,民族誌(ethnography)と、その作成の根拠となっているフィールドワークについて、多種多様な個別具体的事例の内容をふまえて理解を深め、それらに付随する諸問題について検討する。
コミュニケーション構造論２,2018,第4クォーター,4H383,言語変化や習得等の言語現象について知識を増やし、考える授業です。様々な言語の例を見て考えたり、自ら言語の分析をしながら、言語を探ります。４Qでは、特に揺れ動く言語の現象に注目し、そのメカニズムについて考えます。
グローバル社会動態発展演習Ｂ,2018,第4クォーター,4H427,主に２回生を対象とした、この演習では、世界と日本が直面している様々な政治・経済・社会問題について多面的に議論することを目標とします。社会問題を考える際にも突き詰めると「いいか悪いか」「好きか嫌いか」で論じがちな人が多いですが、この演習ではそうした単純な二元論に陥ることなく、むしろ「どうなっているのか？」、「どうしたらいいのか」という視点から実践的で政策志向型思考のトレーニングを積んでいきたいと思います。講座や思想を問わず、様々な意見を持った皆さんが集まって、議論を交わすゼミにしたいと思います。
グローバルコミュニケーション発展演習Ｂ,2018,第4クォーター,4H436,童話、民話、昔話などに登場する「魔女」の存在の意味について、心理学や精神分析学の観点から論じたテキスト（英文）を読む。
臨床心理学２,2018,第4クォーター,4H534,臨床心理学とは何かについて学ぶ。臨床心理学の歴史を知り、心理臨床の基礎となる理論に触れ、人々が体験するさまざまな困難に心理的援助として貢献しようとする活動の内容を学ぶ。
声楽表現演習２,2018,第4クォーター,4H562,外国語の歌曲(イタリア・ドイツ)を題材に、ピアノ伴奏と歌とのかかわり方の違いを知り、その国独自の音楽の表現法を知る
数理科学入門（解析系）,2018,第4クォーター,4H612,前半では常微分方程式の解法や性質を学ぶ。後半では数列の極限を厳密に取り扱うイプシロン・デルタ論法を学ぶ。
環境基礎科学実験Ｃ２（主に化学）,2018,第4クォーター,4H617,授業のテーマ実験を通して化学変化を実感すること，化学実験の基礎的技術を習得することを目的とする。
発達障害と共生社会２,2018,第4クォーター,4H739,共生社会の実現にむけたインクルーシブ教育の発展
国際コミュニケーション演習Ａ,2018,第1クォーター,1H034,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ａ,2018,第1クォーター,1H035,"Through this course, students will develop their abilities to communicate in English on various topics which students get easily interested in."
イタリア語入門１,2018,第1クォーター,1H106,イタリア文化を概観しつつ基礎的なイタリア語を学ぶ
北アジア歴史社会論Ａ,2018,第1クォーター,1H343,この授業のテーマは「モンゴル近現代史」である。第一クォーターでは、主として、清王朝治下のモンゴルで独立運動が発生するに到るその歴史的な状況を詳しく講ずる。第二クォーターでは、主としてモンゴルの独立とその後の苦悩とを講ずる。
比較政治社会論Ａ,2018,第1クォーター,1H370,政治現象に一致や相違が見られるのは何故なのか。政治制度が異なれば、どのような異なった結果が生じるのか。複数の国家、地域ないし時代の政治現象について、認識を深めると同時に、そうした現象を引き起こす要因や現象が与える影響を考察することを目標とする。　比較政治社会論Aでは、国内政治を構成する中心的なアクター、制度に焦点を当て、これまでの理論的成果を検討することを目標とする。
グローバルコミュニケーション基礎演習Ｃ,2018,第1クォーター,1H402,"The topic of this class is Second Language Phonology - in other words, how humans learn the pronunciation of a second language (L2). In the first quarter, we will especially focus on (1) vowels and (2) consonants like T and S."
加齢の身体運動科学１,2018,第1クォーター,1H514,20歳代以降、身体の老化が始まる。運動を発現させる身体機能や運動を調節する機能に関する加齢変化について修得したのち、加齢による生活機能の低下を抑制し、向上させるための身体運動科学的ストラテジーについて提案可能な理解力を身に付ける。
家族の発達と病理１,2018,第1クォーター,1H537,家族システムの発達という観点から，家族心理学の基本的知識を学ぶ。
民族音楽演奏演習１,2018,第1クォーター,1H558,民族楽器に直接触れることによる、直接的な異文化体験の場
初等図工科教育論１,2018,第1クォーター,1H716,初等教育における図工教育の理論と実践１――教育目標・方法・批評を体験的に理解しよう
ソーシャルエンパワメント論,2018,第2クォーター,2H025,現代社会のさまざまな課題の解決の過程において当事者性の高いコミュニティおよび当事者の果たす役割は大きい。本講義を通して、当事者性の高いコミュニティおよび当事者の主体的参加・参画（エンパワメント）をめぐる問題を多領域横断的に理解するとともに、その支援の方法論について考究する。
国際コミュニケーション演習Ｂ,2018,第2クォーター,2H034,グローバル問題とアフリカのスタディズ
国際コミュニケーション演習Ｂ,2018,第2クォーター,2H035,"Through this course, students will develop their abilities to communicate in English on various topics which students get easily interested in."
イタリア語入門３,2018,第2クォーター,2H106,イタリア文化を概観しつつ基礎的なイタリア語を学ぶ
北アジア歴史社会論Ｂ,2018,第2クォーター,2H343,この授業のテーマは「モンゴル近現代史」である。第一クォーターでは、主として、清王朝治下のモンゴルで独立運動が発生するに到るその歴史的な状況を詳しく講ずる。第二クォーターでは、主としてモンゴルの独立とその後の苦悩とを講ずる。
