,科目名,トピック分布
709,グローバル社会動態発展演習Ａ,"[0.033837147, 0.033451147, 0.033584397, 0.8319163, 0.03361507, 0.03359593]"
710,コミュニティ論,"[0, 0, 0, 0.70572317, 0, 0.26221633]"
711,心理学調査法１,"[0.018569227, 0.018784644, 0.018657055, 0.90655696, 0.018802615, 0.018629516]"
712,教育原理（世界と日本の学校教育）１,"[0, 0, 0, 0, 0, 0.95585454]"
713,グローバル教育演習（教育方法学）１,"[0.56910324, 0.34671348, 0.020913115, 0.020940838, 0.0212333, 0.021096028]"
714,乳幼児教育課程論１,"[0, 0.3043753, 0, 0.66208893, 0, 0]"
715,オセアニア社会文化論Ｂ,"[0.6579153, 0, 0.32037652, 0, 0, 0]"
716,現代社会人類学２,"[0.016972631, 0.18741076, 0.5770902, 0.016927257, 0.18465044, 0.01694873]"
717,近現代経済思想論２,"[0, 0, 0, 0, 0, 0.97679186]"
718,グローバル文化形成発展演習Ｂ,"[0.021029675, 0.021021852, 0.021091914, 0.020937586, 0.020905977, 0.895013]"
719,心理学調査法２,"[0.015190574, 0.0153299095, 0.015314282, 0.9235322, 0.015378673, 0.015254423]"
720,教育原理（世界と日本の学校教育）２,"[0, 0, 0, 0, 0, 0.955849]"
721,グローバル教育演習（教育方法学）２,"[0.5692298, 0.34658805, 0.020913167, 0.020940825, 0.021232214, 0.021095973]"
722,乳幼児教育課程論２,"[0, 0.44694042, 0.07027687, 0.40412146, 0.06461375, 0]"
723,教育原理１,"[0.0151888, 0.015206983, 0.015227527, 0.015339941, 0.0152055, 0.9238313]"
724,初等音楽論１,"[0.015252864, 0.015257683, 0.015285279, 0.921235, 0.017742198, 0.015226932]"
725,教育原理２,"[0.01117467, 0.0111704245, 0.011180176, 0.011203011, 0.011171696, 0.9441]"
726,初等音楽論２,"[0.018652631, 0.018671669, 0.018625591, 0.018789748, 0.9066461, 0.018614264]"
727,Lectures on Global Communication,"[0.0669701, 0.1493159, 0.021149509, 0, 0, 0.7581507]"
728,初等体育論１,"[0.012108539, 0.011978967, 0.011967232, 0.4744477, 0.4775336, 0.011963968]"
729,環境物理学Ａ,"[0.012920552, 0.93524325, 0.013015988, 0.012973423, 0.012926657, 0.012920124]"
730,宇宙環境物理学,"[0, 0.3099902, 0, 0, 0.65274847, 0]"
731,環境生命科学Ａ,"[0, 0, 0, 0, 0.96174055, 0]"
732,コミュニティ創成論,"[0.01046316, 0.010507718, 0.94749105, 0.010523909, 0.010516576, 0.010497619]"
733,コミュニティ創成論,"[0.010463164, 0.010507734, 0.94748735, 0.010527503, 0.010516621, 0.01049763]"
734,地域社会学,"[0.056108713, 0.055754937, 0.7201758, 0.05604241, 0.055886146, 0.05603201]"
735,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
736,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
737,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
738,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
739,初年次セミナー,"[0, 0, 0, 0.9712197, 0, 0]"
740,初年次セミナー,"[0, 0, 0, 0.97121966, 0, 0]"
741,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
742,初年次セミナー,"[0, 0, 0, 0.9712202, 0, 0]"
743,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
744,初年次セミナー,"[0, 0, 0, 0.9636552, 0, 0]"
745,初年次セミナー,"[0.018541064, 0.018603489, 0.018533321, 0.90717095, 0.018568315, 0.018582799]"
746,初年次セミナー,"[0.018541064, 0.01860281, 0.018533321, 0.9071716, 0.018568313, 0.018582858]"
747,初年次セミナー,"[0.018541068, 0.018602863, 0.018533325, 0.90717167, 0.018568313, 0.018582778]"
748,初年次セミナー,"[0, 0, 0, 0.96365637, 0, 0]"
749,初年次セミナー,"[0.43761644, 0, 0, 0.53664076, 0, 0]"
750,初年次セミナー,"[0, 0, 0, 0.96365577, 0, 0]"
751,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
752,初年次セミナー,"[0.018541064, 0.018602824, 0.018533321, 0.9071716, 0.01856831, 0.018582825]"
753,初年次セミナー,"[0, 0, 0, 0.97122097, 0, 0]"
754,フィールドワーク方法論,"[0.8952365, 0.020916294, 0.020948114, 0.02098103, 0.020941228, 0.020976799]"
755,Academic Communication（中）Ａ,"[0.47893664, 0.021064207, 0.020971538, 0.4370168, 0.021103697, 0.020907106]"
756,博物館展示論１,"[0.9506505, 0, 0, 0, 0, 0]"
757,日本メディア文化論Ａ,"[0, 0, 0.4297228, 0, 0, 0.54702365]"
758,ヨーロッパ社会文化論Ａ,"[0, 0, 0, 0.65773976, 0, 0.32038018]"
759,アートマネジメント論１,"[0, 0, 0, 0, 0, 0.9617943]"
760,自然体験活動実習１,"[0, 0, 0.122823745, 0.54035944, 0, 0.32792497]"
761,グローバル教育演習（教育行政学）１,"[0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667]"
762,グローバルイシュー演習,"[0, 0, 0.96365625, 0, 0, 0]"
763,グローバルイシュー演習,"[0, 0, 0.9636576, 0, 0, 0]"
764,グローバルイシュー演習,"[0, 0, 0.9636576, 0, 0, 0]"
765,グローバルイシュー演習,"[0, 0, 0.96365654, 0, 0, 0]"
766,グローバルイシュー演習,"[0, 0, 0.96365744, 0, 0, 0]"
767,グローバルイシュー演習,"[0, 0, 0.9636569, 0, 0, 0]"
768,グローバルイシュー演習,"[0, 0, 0.9636573, 0, 0, 0]"
769,グローバルイシュー演習,"[0, 0, 0.9636582, 0, 0, 0]"
770,グローバルイシュー演習,"[0, 0, 0.9636572, 0, 0, 0]"
771,グローバルイシュー演習,"[0.027841104, 0.027801126, 0.86084753, 0.027807353, 0.027861264, 0.027841618]"
772,グローバルイシュー演習,"[0.027840665, 0.027801123, 0.86084956, 0.02780735, 0.027859885, 0.027841408]"
773,グローバルイシュー演習,"[0.027840655, 0.027801126, 0.86084855, 0.027807353, 0.0278609, 0.027841453]"
774,グローバルイシュー演習,"[0.027840706, 0.027801124, 0.8608483, 0.02780735, 0.027861096, 0.027841398]"
775,グローバルイシュー演習,"[0.027840663, 0.027801124, 0.86084825, 0.02780735, 0.027861156, 0.027841454]"
776,グローバルイシュー演習,"[0.023900347, 0.023923643, 0.024043962, 0.024001786, 0.88015735, 0.02397292]"
777,グローバルイシュー演習,"[0.023900358, 0.02392366, 0.024049712, 0.024001874, 0.88015145, 0.023972955]"
778,グローバルイシュー演習,"[0.02390037, 0.023923676, 0.024054611, 0.024001801, 0.88014656, 0.02397299]"
779,グローバルイシュー演習,"[0.02390039, 0.023923703, 0.024062548, 0.024002466, 0.88013786, 0.023973018]"
780,グローバルイシュー演習,"[0.023900403, 0.023923721, 0.024068007, 0.024003046, 0.8801318, 0.02397305]"
781,グローバルイシュー演習,"[0, 0, 0.96011966, 0, 0, 0]"
782,Academic Communication（中）Ｂ,"[0.47889772, 0.021064242, 0.020971514, 0.43705672, 0.021102684, 0.020907097]"
783,博物館展示論２,"[0.418697, 0.010456944, 0.01047785, 0.010651927, 0.010463828, 0.53925246]"
784,日本メディア文化論Ｂ,"[0, 0, 0.7778755, 0, 0, 0.19963096]"
785,ヨーロッパ社会文化論Ｂ,"[0, 0.39463183, 0, 0, 0, 0.57729554]"
786,アートマネジメント論２,"[0, 0, 0.115278296, 0.090896375, 0, 0.77579904]"
787,自然体験活動実習２,"[0, 0, 0.058448177, 0.24231818, 0.59204966, 0.10121722]"
788,グローバル教育演習（教育行政学）２,"[0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667, 0.16666667]"
789,情報リテラシー演習１,"[0.010464167, 0.01046396, 0.010501415, 0.010560599, 0.94753224, 0.010477639]"
790,情報リテラシー演習１,"[0.01046417, 0.010463961, 0.010501419, 0.010563691, 0.94752914, 0.010477642]"
791,Academic Writing（中）Ａ,"[0.5377567, 0.021118566, 0.020980358, 0.37814426, 0.021070164, 0.020929983]"
792,グローバル文化形成基礎演習Ａ,"[0.016875386, 0.016839672, 0.016827406, 0.91568744, 0.016911842, 0.016858295]"
793,グローバル文化形成基礎演習Ａ,"[0.023892902, 0.28839853, 0.024011545, 0.02396349, 0.023937615, 0.6157959]"
794,グローバル文化形成基礎演習Ａ,"[0.12403863, 0, 0.66148525, 0, 0, 0.1914634]"
795,グローバル文化形成基礎演習Ａ,"[0.028065301, 0.02807506, 0.02806046, 0.8594536, 0.028079526, 0.028266033]"
796,グローバル文化形成基礎演習Ａ,"[0.023994328, 0.02393477, 0.8800907, 0.023927107, 0.02399218, 0.02406086]"
797,グローバル社会動態基礎演習Ａ,"[0.012866378, 0.012875206, 0.013014426, 0.013061654, 0.012918479, 0.9352639]"
798,グローバル社会動態基礎演習Ａ,"[0, 0.08202205, 0.25090203, 0.4393026, 0, 0.21432258]"
799,グローバル社会動態基礎演習Ａ,"[0.014062925, 0.9296946, 0.01408155, 0.01406013, 0.014100835, 0.013999949]"
800,グローバルコミュニケーション基礎演習Ａ,"[0.36271966, 0.1695856, 0.3304566, 0.012899813, 0.111337505, 0.013000782]"
801,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.94717395, 0, 0.047558773, 0]"
802,グローバルコミュニケーション基礎演習Ａ,"[0, 0, 0.86641115, 0.12937717, 0, 0]"
803,東南アジア社会文化論Ａ,"[0, 0.19440302, 0.29950517, 0.019097362, 0.4490795, 0.035222635]"
804,近現代表象文化論Ａ,"[0.012066215, 0.012055246, 0.9396903, 0.012025127, 0.012022345, 0.012140787]"
805,初等家庭科論１,"[0.95334584, 0, 0, 0, 0, 0]"
806,情報リテラシー演習２,"[0, 0, 0, 0.95809853, 0, 0]"
807,情報リテラシー演習２,"[0, 0, 0, 0.9534125, 0, 0]"
808,Academic Writing（中）Ｂ,"[0.53776425, 0.021117883, 0.020980356, 0.37813738, 0.02107016, 0.020929983]"
809,グローバル文化形成基礎演習Ｂ,"[0.016875388, 0.016839674, 0.016827406, 0.9156868, 0.016912423, 0.016858298]"
810,グローバル文化形成基礎演習Ｂ,"[0.02386429, 0.16479911, 0.024018742, 0.023926446, 0.02390501, 0.7394864]"
811,グローバル文化形成基礎演習Ｂ,"[0.14007843, 0, 0.68810123, 0, 0, 0.1477112]"
812,グローバル文化形成基礎演習Ｂ,"[0.8592369, 0.028049247, 0.02816597, 0.028195435, 0.028055891, 0.028296502]"
813,グローバル文化形成基礎演習Ｂ,"[0.023994297, 0.023934754, 0.8800969, 0.02392709, 0.023992151, 0.024054807]"
814,グローバル社会動態基礎演習Ｂ,"[0.01286638, 0.012875209, 0.013013521, 0.013071984, 0.012918487, 0.93525445]"
815,グローバル社会動態基礎演習Ｂ,"[0, 0.08203114, 0.2508382, 0.4392435, 0, 0.21443646]"
816,グローバル社会動態基礎演習Ｂ,"[0.014062939, 0.9296913, 0.014081566, 0.014060144, 0.014104124, 0.013999958]"
817,グローバルコミュニケーション基礎演習Ｂ,"[0.011194876, 0.011172641, 0.011259866, 0.011267985, 0.011226677, 0.94387794]"
818,グローバルコミュニケーション基礎演習Ｂ,"[0, 0, 0.10160387, 0, 0, 0.87596434]"
819,グローバルコミュニケーション基礎演習Ｂ,"[0, 0, 0.0439055, 0, 0, 0.9336497]"
820,東南アジア社会文化論Ｂ,"[0, 0.31204313, 0.42027754, 0, 0, 0.2496235]"
821,近現代表象文化論Ｂ,"[0, 0, 0.9599892, 0, 0, 0]"
822,グローバルコミュニケーション発展演習Ｂ,"[0, 0, 0.32658076, 0.4106146, 0.23461086, 0]"
823,初等家庭科論２,"[0.8656023, 0.1031745, 0, 0, 0, 0]"
824,Academic Communication（英）Ａ,"[0, 0, 0, 0.87354183, 0.10414117, 0]"
825,Academic Communication（英）Ａ,"[0, 0, 0, 0.8698234, 0.107859865, 0]"
826,Academic Communication（英）Ａ,"[0, 0, 0, 0.87041116, 0.10727206, 0]"
827,Academic Communication（英）Ａ,"[0, 0, 0, 0.8702006, 0.107482634, 0]"
828,Academic Communication（英）Ａ,"[0, 0, 0, 0.87008125, 0.10760194, 0]"
829,Academic Communication（英）Ａ,"[0, 0, 0, 0.87091225, 0.10677095, 0]"
830,Academic Communication（英）Ａ,"[0, 0, 0, 0.8711032, 0.10657991, 0]"
831,発達コミュニティ概論１,"[0, 0.13821897, 0, 0.20011751, 0, 0.6476762]"
832,子ども教育学概論１,"[0, 0.45483136, 0, 0.024462592, 0, 0.50541115]"
833,Academic Communication（英）Ｂ,"[0, 0, 0, 0.8709096, 0.10677361, 0]"
834,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60212153, 0.37819597, 0]"
835,Academic Communication（英）Ｂ,"[0, 0, 0, 0.6020613, 0.37825626, 0]"
836,Academic Communication（英）Ｂ,"[0, 0, 0, 0.6020579, 0.37825957, 0]"
837,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60207844, 0.37823907, 0]"
838,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60210246, 0.37821496, 0]"
839,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60210633, 0.37821117, 0]"
840,発達コミュニティ概論２,"[0, 0.24698363, 0.078413405, 0.54937696, 0.11803915, 0]"
841,環境共生学概論２,"[0.033891376, 0.8316448, 0.033954397, 0.033579975, 0.033507064, 0.03342241]"
842,子ども教育学概論２,"[0, 0.37908483, 0.4910423, 0.115782455, 0, 0]"
843,ＴＯＥＦＬ演習Ａ,"[0.018584326, 0.018549837, 0.22184217, 0.01855274, 0.7039319, 0.01853906]"
844,ＴＯＥＦＬ演習Ａ,"[0.9238855, 0.015161911, 0.015212465, 0.015202297, 0.015343663, 0.015194104]"
845,Academic Writing（英）Ａ,"[0.9835922, 0, 0, 0, 0, 0]"
846,Academic Writing（英）Ａ,"[0.98094547, 0, 0, 0, 0, 0]"
847,Academic Writing（英）Ａ,"[0.9809452, 0, 0, 0, 0, 0]"
848,Academic Writing（英）Ａ,"[0.9809457, 0, 0, 0, 0, 0]"
849,創造の発想とプロセスＡ,"[0.011158186, 0.011156487, 0.80757046, 0.011190268, 0.011177565, 0.147747]"
850,環境共生学概論３,"[0, 0, 0.10777957, 0.3037321, 0.23306529, 0.34880534]"
851,国際文化理解教育論１,"[0, 0.09979493, 0, 0, 0, 0.88617086]"
852,保育内容研究（健康II）１,"[0.011147207, 0.94404095, 0.011132994, 0.011237532, 0.011288648, 0.011152664]"
853,ＴＯＥＦＬ演習Ｂ,"[0.01858432, 0.018549837, 0.22180381, 0.018552741, 0.7039702, 0.01853906]"
854,ＴＯＥＦＬ演習Ｂ,"[0.92387325, 0.015161912, 0.015212476, 0.015202305, 0.015355934, 0.015194111]"
855,Academic Writing（英）Ｂ,"[0.9825342, 0, 0, 0, 0, 0]"
856,Academic Writing（英）Ｂ,"[0.9825345, 0, 0, 0, 0, 0]"
857,Academic Writing（英）Ｂ,"[0.9825342, 0, 0, 0, 0, 0]"
858,創造の発想とプロセスＢ,"[0.023997338, 0.023890052, 0.60913134, 0.29497826, 0.023958389, 0.024044614]"
859,市民科学教育論,"[0.93516344, 0.013000267, 0.012980069, 0.01296413, 0.012910079, 0.012982025]"
860,国際文化理解教育論２,"[0.0153031675, 0.015444158, 0.015285172, 0.63200414, 0.3066589, 0.015304525]"
861,保育内容研究（健康II）２,"[0.011147202, 0.9440517, 0.01113299, 0.011237511, 0.011277954, 0.011152658]"
862,Academic Communication（英）Ａ,"[0, 0, 0, 0.86935955, 0.10832375, 0]"
863,Academic Communication（英）Ａ,"[0, 0, 0, 0.87187386, 0.105809234, 0]"
864,Academic Communication（英）Ａ,"[0, 0, 0, 0.8705867, 0.10709648, 0]"
865,Academic Communication（英）Ａ,"[0, 0, 0, 0.8713643, 0.10631882, 0]"
866,Academic Communication（英）Ａ,"[0, 0, 0, 0.87020457, 0.10747863, 0]"
867,Academic Communication（英）Ａ,"[0, 0, 0, 0.8709318, 0.10675132, 0]"
868,Academic Communication（英）Ａ,"[0, 0, 0, 0.86988986, 0.1077934, 0]"
869,Academic Communication（英）Ｂ,"[0, 0, 0, 0.8707812, 0.106902026, 0]"
870,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60212064, 0.3781968, 0]"
871,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60207766, 0.3782398, 0]"
872,Academic Communication（英）Ｂ,"[0, 0, 0, 0.6021142, 0.37820324, 0]"
873,Academic Communication（英）Ｂ,"[0, 0, 0, 0.602076, 0.37824145, 0]"
874,Academic Communication（英）Ｂ,"[0, 0, 0, 0.6020929, 0.37822464, 0]"
875,Academic Communication（英）Ｂ,"[0, 0, 0, 0.60205406, 0.37826338, 0]"
876,Academic Writing（英）Ａ,"[0.98359245, 0, 0, 0, 0, 0]"
877,Academic Writing（英）Ａ,"[0.9809432, 0, 0, 0, 0, 0]"
878,Academic Writing（英）Ａ,"[0.98094624, 0, 0, 0, 0, 0]"
879,Academic Writing（英）Ａ,"[0.9809457, 0, 0, 0, 0, 0]"
880,工芸実践演習１,"[0.88890046, 0, 0, 0, 0, 0.08046585]"
881,ソルフェージュ１,"[0.93988246, 0.012060764, 0.011979896, 0.012040603, 0.012049868, 0.011986409]"
882,地球環境学１,"[0, 0.11796555, 0, 0, 0.44924736, 0.41751176]"
883,初等音楽科教育論１,"[0.01395209, 0.0140161365, 0.013936726, 0.014074327, 0.93006283, 0.013957874]"
884,Academic Writing（英）Ｂ,"[0.98359233, 0, 0, 0, 0, 0]"
885,Academic Writing（英）Ｂ,"[0.9825343, 0, 0, 0, 0, 0]"
886,Academic Writing（英）Ｂ,"[0.9825343, 0, 0, 0, 0, 0]"
887,Academic Writing（英）Ｂ,"[0.98253405, 0, 0, 0, 0, 0]"
888,工芸実践演習２,"[0.9474589, 0.010448725, 0.010538653, 0.010475724, 0.010492602, 0.010585321]"
889,ソルフェージュ２,"[0.3548332, 0.605608, 0, 0, 0, 0]"
890,地球環境学２,"[0, 0.101415955, 0, 0, 0.37503305, 0.50872797]"
891,初等音楽科教育論２,"[0.013952088, 0.014016128, 0.013936726, 0.0140705155, 0.9300667, 0.013957871]"
892,保健体育科教育論Ｄ１,"[0, 0, 0.42360368, 0.13327298, 0.3535953, 0.08333376]"
893,数学科教育論Ａ１,"[0, 0, 0, 0, 0.97730297, 0]"
894,健康運動科学１,"[0, 0.98003787, 0, 0, 0, 0]"
895,声楽伴奏表現演習,"[0.8804116, 0.02390848, 0.023906464, 0.0238742, 0.023921505, 0.02397776]"
896,環境法,"[0.056388646, 0.1856603, 0, 0.20860527, 0.398254, 0.14373593]"
897,初等算数科教育論１,"[0, 0, 0, 0, 0.9700151, 0]"
898,保健体育科教育論Ｄ２,"[0, 0.03840308, 0.060560595, 0.23928101, 0.20463753, 0.45433453]"
899,数学科教育論Ａ２,"[0.1989299, 0, 0, 0, 0.7819143, 0]"
900,健康運動科学２,"[0, 0.9800382, 0, 0, 0, 0]"
901,初等算数科教育論２,"[0.014069076, 0.014003382, 0.013928216, 0.9300429, 0.014004067, 0.013952347]"
902,深層心理学１,"[0, 0, 0, 0, 0.9559286, 0]"
903,セーフティプロモーション論,"[0, 0.7846237, 0, 0, 0.18169636, 0]"
904,環境基礎物理学Ｂ,"[0, 0.953433, 0, 0, 0, 0]"
905,環境資源植物科学,"[0.7352254, 0, 0, 0.2504229, 0, 0]"
906,環境高分子化学,"[0, 0.95807946, 0, 0, 0, 0]"
907,グローバル文化特別演習Ａ,"[0.042558413, 0.7901269, 0.041795585, 0.04193346, 0.041742828, 0.041842815]"
908,保健体育科教育論Ｂ２,"[0, 0, 0.04692272, 0.4272959, 0.50288296, 0]"
909,深層心理学２,"[0, 0, 0, 0, 0.9581311, 0]"
910,グローバル文化特別演習Ｂ,"[0.042590957, 0.79009414, 0.041795634, 0.04193355, 0.041742846, 0.041842874]"
911,博物館概論１,"[0, 0, 0, 0, 0, 0.9773911]"
912,越境社会学Ａ,"[0.4586634, 0.024118595, 0.18566409, 0.024096392, 0.024029102, 0.28342837]"
913,グローバル文化形成基礎演習Ｃ,"[0.01197683, 0.012030904, 0.93989676, 0.012027026, 0.012024133, 0.012044337]"
914,グローバル社会動態基礎演習Ｃ,"[0, 0, 0.9894697, 0, 0, 0]"
915,グローバル文化形成発展演習Ｃ,"[0, 0.05283187, 0, 0.5849343, 0.34535375, 0]"
916,臨床投影法１,"[0.011131624, 0.011149662, 0.011141716, 0.94427675, 0.01116788, 0.011132371]"
917,声の表現１,"[0.30403182, 0.016829124, 0.016904518, 0.6286128, 0.016829733, 0.016791988]"
918,数理科学基礎,"[0, 0.31922725, 0, 0.66260827, 0, 0]"
919,環境形成科学演習１,"[0.016697636, 0.016744496, 0.016696298, 0.91639054, 0.016772013, 0.016698968]"
920,教育行政学（幼・小）１,"[0.013966042, 0.014135804, 0.014000097, 0.92990595, 0.013952929, 0.01403921]"
921,障害共生教育論１,"[0.9558664, 0, 0, 0, 0, 0]"
922,障害児保育演習１,"[0.01671991, 0.016911818, 0.016679723, 0.016715778, 0.91624284, 0.016729875]"
923,博物館概論２,"[0, 0, 0, 0, 0, 0.9773911]"
924,越境社会学Ｂ,"[0.45863906, 0.02411858, 0.1856814, 0.024096372, 0.02402911, 0.2834355]"
925,グローバル文化形成基礎演習Ｄ,"[0.011203783, 0.011249934, 0.28583083, 0.66928864, 0.011200413, 0.011226434]"
926,グローバル社会動態基礎演習Ｄ,"[0, 0, 0.98947006, 0, 0, 0]"
927,グローバル文化形成発展演習Ｄ,"[0, 0.047853924, 0.21712376, 0.484609, 0.24045773, 0]"
928,臨床投影法２,"[0.011131627, 0.011149658, 0.011141721, 0.94427425, 0.011170358, 0.0111323735]"
929,声の表現２,"[0.77517825, 0.010565197, 0.010508767, 0.18269052, 0.010542014, 0.0105152475]"
930,環境モデル解析Ａ,"[0.95535594, 0, 0, 0, 0, 0]"
931,環境形成科学演習２,"[0.01669764, 0.016744526, 0.016696302, 0.9163875, 0.016775055, 0.016698973]"
932,教育行政学（幼・小）２,"[0.013966045, 0.01413765, 0.014000103, 0.9299041, 0.013952931, 0.014039217]"
933,障害共生教育論２,"[0.95586526, 0, 0, 0, 0, 0]"
934,障害児保育演習２,"[0.016758412, 0.6717055, 0.016679106, 0.016725302, 0.26135838, 0.016773326]"
935,数学科教育論Ｄ１,"[0.69069463, 0, 0, 0, 0.28616607, 0]"
936,現代ＩＴ入門Ａ,"[0.0469727, 0, 0.057191573, 0.09757063, 0.79338324, 0]"
937,英米テクスト文化論Ａ,"[0, 0, 0, 0, 0.9678148, 0]"
938,比較政策論Ａ,"[0, 0, 0.9910794, 0, 0, 0]"
939,音楽文化史１,"[0.05491006, 0, 0.91826814, 0, 0, 0]"
940,臨床心理学演習１,"[0.011127724, 0.011173715, 0.011133107, 0.01121597, 0.9442048, 0.011144667]"
941,グラフィックサイエンス１,"[0, 0, 0.5678093, 0.25307345, 0, 0.16046564]"
942,発達心理学（幼・小）１,"[0, 0.3567575, 0, 0, 0.6095453, 0]"
943,初等国語科教育論１,"[0.012943665, 0.012876167, 0.012847498, 0.9355783, 0.012890864, 0.0128634935]"
944,グローバル文化特別演習Ａ,"[0.028180035, 0.86012906, 0.027891176, 0.028022893, 0.027877515, 0.027899304]"
945,グローバル文化特別演習Ａ,"[0.028109878, 0.028137451, 0.028042557, 0.53643656, 0.028190553, 0.35108298]"
946,グローバル文化特別演習Ａ,"[0, 0.18121469, 0.53564036, 0.26635957, 0, 0]"
947,グローバル文化特別演習Ａ,"[0, 0, 0.07438467, 0.020840814, 0.5713392, 0.32962325]"
948,数学科教育論Ｄ２,"[0.19440702, 0, 0, 0, 0.7798296, 0]"
949,現代ＩＴ入門Ｂ,"[0.044712543, 0, 0.07014436, 0.099286534, 0.7803315, 0]"
950,英米テクスト文化論Ｂ,"[0, 0, 0, 0, 0.9690373, 0]"
951,比較政策論Ｂ,"[0, 0, 0.99107933, 0, 0, 0]"
952,音楽文化史２,"[0, 0, 0.96193945, 0, 0, 0]"
953,臨床心理学演習２,"[0.011127726, 0.011173721, 0.011133111, 0.011219489, 0.9442013, 0.011144671]"
954,グラフィックサイエンス２,"[0, 0, 0.59789336, 0.23699883, 0, 0.14712536]"
955,発達心理学（幼・小）２,"[0, 0.35670686, 0, 0, 0.60959595, 0]"
956,初等国語科教育論２,"[0.012946623, 0.012876169, 0.012847498, 0.9355753, 0.012890868, 0.0128634935]"
957,教育・保育実践演習（家庭保育）,"[0, 0, 0, 0, 0, 0.97107846]"
958,グローバル文化特別演習Ｂ,"[0.028180392, 0.63131255, 0.25643367, 0.028029615, 0.02814341, 0.027900385]"
959,グローバル文化特別演習Ｂ,"[0.028109953, 0.028137457, 0.028042618, 0.5361745, 0.028190559, 0.3513449]"
960,グローバル文化特別演習Ｂ,"[0, 0.24773876, 0.47529718, 0.26070848, 0, 0]"
961,グローバル文化特別演習Ｂ,"[0, 0, 0.07435975, 0.021833014, 0.5711481, 0.32884708]"
962,ＴＯＥＩＣ演習Ａ,"[0, 0, 0, 0, 0.96014863, 0]"
963,ラテン語入門１,"[0.011162408, 0.011302523, 0.011170609, 0.25375277, 0.011161349, 0.7014503]"
964,国際コミュニケーション演習Ａ,"[0.15930215, 0, 0, 0.83497995, 0, 0]"
965,Cultures and Societies in Japan A,"[0.016669309, 0.016703587, 0.9165041, 0.016778994, 0.01667382, 0.016670207]"
966,博物館資料論１,"[0, 0, 0, 0, 0, 0.96357256]"
967,グローバル・ヒストリーＡ,"[0, 0.7028619, 0, 0.10748819, 0, 0.17583732]"
968,グローバル文化形成基礎演習Ｃ,"[0, 0, 0.49082372, 0, 0, 0.47861618]"
969,グローバル社会動態発展演習Ｃ,"[0, 0, 0, 0.99271446, 0, 0]"
970,環境保健学１,"[0, 0, 0, 0, 0.9649909, 0]"
971,中等学校教育相談１,"[0, 0, 0, 0, 0, 0.98529947]"
972,心理テスト法１,"[0, 0, 0, 0.95355314, 0, 0]"
973,環境地球科学Ａ,"[0.012871739, 0.93549275, 0.012896712, 0.012893912, 0.012932824, 0.012912034]"
974,生活空間計画論,"[0.015205168, 0.015191439, 0.015244735, 0.9238819, 0.01521083, 0.01526597]"
975,分子生物学,"[0.73078394, 0.15149373, 0, 0, 0.10247934, 0]"
976,複雑系の幾何学,"[0, 0.56874806, 0, 0.39190686, 0, 0]"
977,経済学,"[0, 0, 0.47370377, 0.16329046, 0.14223728, 0.20874934]"
978,初等学校教育相談１,"[0, 0, 0, 0.9688854, 0, 0]"
979,発達障害心理学１,"[0.023884034, 0.023952238, 0.023915732, 0.023921475, 0.88040954, 0.023916978]"
980,発達障害心理学１（障害者・障害児心理学１）,"[0.024050754, 0.023903128, 0.023924068, 0.8798772, 0.024201753, 0.024043055]"
981,乳幼児心理学１,"[0, 0.96003795, 0, 0, 0, 0]"
982,ＴＯＥＩＣ演習Ｂ,"[0, 0, 0, 0, 0.96014816, 0]"
983,ラテン語入門２,"[0.01116008, 0.011298007, 0.011169384, 0.24074228, 0.0111619355, 0.7144683]"
984,国際コミュニケーション演習Ｂ,"[0.15929572, 0, 0, 0.83498585, 0, 0]"
985,Cultures and Societies in Japan B,"[0.016671633, 0.016747303, 0.7053643, 0.22786789, 0.016676232, 0.01667265]"
986,博物館資料論２,"[0, 0, 0, 0, 0, 0.96357113]"
987,グローバル・ヒストリーＢ,"[0, 0, 0.9766939, 0, 0, 0]"
988,グローバル文化形成基礎演習Ｄ,"[0, 0, 0.4531041, 0, 0, 0.5176734]"
989,グローバル社会動態発展演習Ｄ,"[0, 0, 0, 0.99270767, 0, 0]"
990,環境保健学２,"[0, 0, 0, 0, 0.95801467, 0]"
991,中等学校教育相談２,"[0, 0, 0, 0, 0, 0.98529947]"
992,心理テスト法２,"[0, 0, 0, 0.9535523, 0, 0]"
993,政治学,"[0.18560873, 0, 0.38385984, 0.14533433, 0, 0.27173248]"
